"UserID","sex","age"
"ID20000001","M",40
"ID10000002","M",42
"ID20000003","F",54
"ID10000004","F",56
"ID20000005","F",54
"ID20000006","F",57
"ID10000007","M",30
"ID10000008","M",15
"ID20000009","M",31
"ID10000010","F",57
"ID10000011","F",55
"ID20000012","M",36
"ID20000013","F",55
"ID10000014","M",30
"ID20000015","M",36
"ID10000016","F",58
"ID20000017","F",54
"ID10000018","F",50
"ID10000019","F",51
"ID20000020","M",49
"ID20000021","F",57
"ID20000022","F",52
"ID10000023","M",42
"ID20000024","M",24
"ID20000025","M",39
"ID10000026","F",59
"ID10000027","M",44
"ID10000028","F",57
"ID10000029","F",55
"ID10000030","F",50
"ID20000031","M",38
"ID20000032","M",39
"ID10000033","M",40
"ID10000034","F",55
"ID10000035","M",38
"ID20000036","M",43
"ID20000037","M",41
"ID10000038","M",27
"ID10000039","M",49
"ID20000040","M",37
"ID20000041","M",37
"ID10000042","M",37
"ID20000043","M",36
"ID10000044","M",33
"ID10000045","M",41
"ID20000046","M",18
"ID20000047","M",22
"ID20000048","F",54
"ID20000049","F",60
"ID10000050","F",56
"ID10000051","M",27
"ID10000052","F",59
"ID10000053","M",28
"ID10000054","M",50
"ID20000055","F",55
"ID10000056","F",52
"ID10000057","M",47
"ID10000058","M",30
"ID10000059","M",43
"ID20000060","F",54
"ID10000061","M",44
"ID10000062","M",43
"ID20000063","F",52
"ID20000064","F",55
"ID10000065","M",43
"ID20000066","M",33
"ID10000067","M",28
"ID20000068","F",53
"ID20000069","M",24
"ID10000070","M",38
"ID20000071","M",40
"ID20000072","M",35
"ID20000073","F",58
"ID10000074","M",44
"ID10000075","F",53
"ID10000076","M",31
"ID10000077","F",59
"ID20000078","F",52
"ID20000079","F",57
"ID20000080","F",58
"ID10000081","M",39
"ID10000082","M",38
"ID20000083","F",53
"ID10000084","M",47
"ID10000085","M",44
"ID20000086","F",53
"ID20000087","M",41
"ID20000088","M",34
"ID10000089","M",37
"ID10000090","F",55
"ID20000091","F",55
"ID10000092","M",32
"ID10000093","M",36
"ID20000094","F",54
"ID20000095","M",44
"ID20000096","M",36
